Commodity,Climate change HH LT (DALY),Climate change HH ST (DALY),Human toxicity cancer LT (DALY),Human toxicity cancer ST (DALY),Human toxicity non-cancer LT (DALY),Human toxicity non-cancer ST (DALY),Ionizing radiations HH (DALY),Ozone layer depletion (DALY),Particulate matter formation (DALY),Photochemical ozone HH (DALY),Water availability HH (DALY)
Copper Mountain,1.0841389111470479e-05,3.3417233888557848e-06,5.3048664448153045e-09,5.949588108047752e-07,1.5496824885686217e-07,2.761250386323471e-07,7.588748359828222e-10,4.711245702575219e-11,1.51797467429666e-07,6.719563343161094e-09,6.961690929025929e-11
Gibraltar (Cu),8.69446001076128e-06,2.726242637357992e-06,6.863947214517397e-09,8.301049390070401e-07,2.0608770006924982e-07,5.735148646991201e-08,9.88450855753586e-10,3.845148628628754e-11,1.4301647822635952e-07,6.3315007284489165e-09,8.015031037093706e-11
Highland Valley (Cu),5.414173736237542e-06,1.6771446027601225e-06,2.4147964069251574e-09,2.688303602464746e-07,7.080250108439375e-08,2.502527998339103e-08,3.4802935829053793e-10,2.169636324823741e-11,6.259032663636164e-08,2.7505591014114516e-09,3.1987279118840364e-11
Mount Milligan,9.601369998826372e-06,2.964518618359975e-06,1.2540344141054822e-08,1.2130404996800725e-06,2.6767493423687336e-07,5.242730336197284e-07,8.767364701111626e-10,3.940438577478901e-11,8.051281000296017e-08,3.5655875537169344e-09,6.0451195933184e-11
Mount Polley,1.0629556159837764e-05,3.3214888189361927e-06,6.138472135580019e-09,6.988447967744013e-07,1.7840095203401623e-07,1.5533874018707694e-07,8.018547008895265e-10,4.596176713517029e-11,2.9031619612970426e-06,1.285354618002169e-07,7.730051601222428e-11
Goldex (Cu),9.00366273558745e-06,2.950202254921779e-06,9.318526679767234e-09,8.980990508921047e-07,2.850521548525317e-07,1.1278616414271799e-07,4.033622240300764e-09,3.848234859510624e-11,1.074618964242117e-07,1.1443563970557583e-10,2.8195996510298055e-10
Kidd Creek,2.0369048118870325e-06,5.968601435444276e-07,4.5694973462718584e-10,6.631052602734563e-08,7.372769963947998e-08,3.4300672925735826e-08,3.713292219964585e-11,6.109095943416545e-13,1.7328338024384774e-07,7.672044172115412e-09,5.133564272449721e-12
LaRonde (Cu),5.24648557996586e-06,1.6939379467467868e-06,3.637888871296185e-09,2.116247639358083e-07,9.086983919010669e-08,7.075500982730708e-08,2.971970454291389e-09,2.542823052069755e-11,1.6031154775197207e-07,2.7661122941215024e-09,6.901331134935162e-11
New Afton,2.439041764104952e-06,7.665024277649019e-07,1.5163717857932066e-09,1.2598020570085187e-07,4.163857078392131e-08,3.63180799086136e-08,2.5378951870648173e-10,1.3573709694587023e-11,4.416379431317979e-11,1.4564244067053543e-12,3.0831228649333055e-11
Snow Lake (Cu),8.766691085466216e-06,2.731736097759929e-06,6.597653328521751e-09,1.9071017483810394e-07,1.9980869099796763e-07,2.506791950637e-07,2.624479919303476e-09,2.372872543121191e-11,9.393562009644903e-08,3.0315661236214073e-12,3.362534683873178e-11
