Commodity,Climate change EQ marine LT (PDF.m2.yr),Climate change EQ marine ST (PDF.m2.yr),Climate change EQ terrestrial LT (PDF.m2.yr),Climate change EQ terrestrial ST (PDF.m2.yr),Fisheries impact (PDF.m2.yr),Freshwater acidification (PDF.m2.yr),Freshwater ecotoxicity LT (PDF.m2.yr),Freshwater ecotoxicity ST (PDF.m2.yr),Freshwater eutrophication (PDF.m2.yr),Ionizing radiations EQ (PDF.m2.yr),Land occupation biodiversity (PDF.m2.yr),Land transformation biodiversity (PDF.m2.yr),Marine acidification LT (PDF.m2.yr),Marine acidification ST (PDF.m2.yr),Marine ecotoxicity LT (PDF.m2.yr),Marine ecotoxicity ST (PDF.m2.yr),Marine eutrophication (PDF.m2.yr),Photochemical ozone EQ (PDF.m2.yr),Terrestrial acidification (PDF.m2.yr),Terrestrial ecotoxicity LT (PDF.m2.yr),Terrestrial ecotoxicity ST (PDF.m2.yr),Thermally polluted water (PDF.m2.yr),Water availability freshwater (PDF.m2.yr),Water availability terrestrial (PDF.m2.yr)
Brucejack,232973.5765680751,73230.7542692817,32407.899419749,10186.798719268012,5.1890442067525386e-15,435.9708699886309,1925.5805399346098,1079.2879355636321,0.00042204222990101866,2.762568025195094e-06,0.06208676431393128,0.05997123587627051,7400.265333702176,803.2998787053049,0.015277742231261124,0.010603950092536502,149.3974890783838,4787.094373088719,3588.7699382618916,557.6417439060716,387.0441750704614,0.0002926031117286106,1.0449884342378889e-05,0.00020582931422615254
Eagle River,41244.156431661366,13213.370487530832,5737.287854209511,1838.0521551094355,6.339230512417741e-15,238.86747494178564,753.5854891573595,168.79250006266392,0.00025881249812447486,4.452926339984874e-05,0.009296409248981043,0.0076536438492278425,1290.4165942574984,140.07380366918457,0.003778527144703423,0.0036877628191030634,80.35235370119757,2616.5117187702035,1965.081843566233,137.9193238656028,134.60334181802477,4.541071832750794e-05,1.256857307087761e-05,2.7581550676980577e-05
Éléonore,41534.83264690041,13482.980520375166,5777.722503398793,1875.5563869788693,3.984681889136711e-15,69.80001113433661,703.6812937828579,169.91754707324588,0.00014366139077911965,1.985372743053618e-06,0.010156009959735809,0.0005682825507145051,1318.8523660540013,143.15956472327076,0.0028611303784748326,0.0025057733905534682,132.24226407723063,750.2163780641805,571.2101818574769,104.43417205647522,91.46072833491893,4.174457576336258e-05,4.091040472755693e-06,3.243724242849767e-05
Goldex (Au),57405.84555208952,18809.996944721348,7985.467243436524,2616.573528916033,1.2360293409604667e-14,20.920917547301247,1461.9979298152398,254.48356202989018,0.00036886945636085315,2.7912298320765738e-06,0.013419206766385854,0.0005224574313844599,1767.966542944095,191.9158118491982,0.005316053716459234,0.005308717330112778,14.35301534620615,8.46584025070033,126.3980160643031,194.03841044252795,193.76818135957205,4.5579319679770365e-05,1.732782851156581e-05,3.925103541289752e-05
Island,37602.16359091067,11848.252283623267,5230.666727051307,1648.1567394421047,2.182808481116037e-15,507.94676768693756,726.0620499458206,158.30859300643635,0.00015963566321061478,6.305807394928384e-05,0.009011580623305506,0.007735211742522785,1270.845117754859,137.93636735494604,0.0036817408789117808,0.0027659112208637,197.33052667821852,5520.148582453562,4202.572396972432,134.38719803438343,100.95575877344884,4.0513271776391746e-05,3.1989312778666094e-06,2.7812352666634567e-05
LaRonde (Doré),33450.71280933566,10800.265367223843,4653.177196824002,1502.37602543558,3.257445106022219e-15,31.54079174619257,473.4704028829895,155.36191155259974,0.00010302966828050421,2.234989068947271e-06,0.006259849069839464,-0.006679118532875061,1044.4805710016528,113.37952340480389,0.002303562898940417,0.0027461026955119157,165.15779890155616,198.95123258219627,254.6105603469025,84.08337570445485,100.23274809906967,2.6196618933255143e-05,4.241207644791351e-06,2.0206184311674812e-05
Macassa,100701.34616413225,33843.66085500931,14008.108274008902,4707.838470425552,4.042889864241339e-14,107.16466982201742,2338.8438086100327,404.2070486447744,0.0011116022664868312,3.129038383670989e-05,0.019944207401339044,0.016250973544477798,2989.0182400591107,324.46136815359876,0.010004276870015696,0.012237774937485046,85.24918379144378,1074.1128161202648,898.420913814964,365.16280228867265,446.6787803424976,9.33379870982916e-05,7.410882947438038e-05,4.957406475531683e-05
Musselwhite,51086.54217932751,16144.395437171914,7106.417578523549,2245.773765820446,3.969280191474501e-15,249.88280873127388,1007.0522264185431,218.12544376155878,0.00020976609798885895,7.05786362733017e-05,0.01119814804609158,0.010539971267789827,1651.7266918315115,179.2900976649879,0.00491871969346625,0.002893342414907005,195.56402954531285,2730.17713656789,2057.1311497330485,179.5375521116549,105.60699682840904,4.9564264715525896e-05,4.3385346804670545e-06,3.420888344876266e-05
Red Lake,63278.62792723422,19711.49002287304,8802.403423822469,2741.9761453663946,2.9800008094072414e-15,4.894343839310945,1111.072900826303,251.3130069335605,0.00023541843365237078,6.64737084091546e-05,0.013737433710837688,0.01207004669491396,2355.0361628392875,255.57820002967156,0.005236295794435831,0.003109019812011496,230.22648186564047,43.54343021795409,38.09993046934777,191.1290259868003,113.47922191818454,6.06129254598379e-05,5.335323329691338e-06,4.276770513955177e-05
Seabee Gold Operation,274878.35738315055,82613.78924250603,38237.08372809209,11492.030231854405,2.9340685504537148e-15,45.17783654706256,816.7295878500448,803.5259271542336,0.00013170324978697924,4.970542079150238e-07,0.015958930748628333,0.015964930855616455,8759.424642132915,950.8576698211655,0.009464408526935014,0.005686370440093129,254.16428417263955,493.72221210455456,373.6303171846065,345.4528763481523,207.5525190209698,7.330423234518412e-05,3.3635158638092855e-06,5.250264348225844e-05
Snow Lake (Doré),55894.95393556668,17417.093346046586,7775.293981030209,2422.8129972631855,1.6720637404248293e-15,7.284296093015959,669.0405132162393,122.37504779171427,7.785265014196614e-05,1.331787340279788e-06,0.003606640143133615,-0.0021162602385546014,1700.8291649507055,184.6291237680919,0.0032140519749784026,0.0030772588526603354,6.53758675240827,0.3459199238436355,94.16475301734,117.31475125014954,112.31994723241033,1.5799496117626824e-05,2.066443138926504e-06,1.2220805208617781e-05
Timmins Operation,170418.16389153094,52351.799167438585,23706.099175905892,7282.421789835067,6.236368747526399e-15,173.8783374309835,4364.979337502799,1237.881136629245,0.0004967938955557113,0.0001378941474695937,0.030537157376496496,0.027029997350020984,5491.01146662625,596.0444745881821,0.014693786225070619,2.379758424245027,49.489505908024995,1320.0864471111156,1309.5669657572246,536.3749536777556,86861.18335333909,0.00013885567118845503,1.227379200979253e-05,9.576097010024124e-05
Westwood-Doyon,48122.0192887035,15918.59656261071,6694.036205063904,2214.363911249644,1.0509989682680825e-14,1.4839306769059548,701.7178065704667,193.39226440496182,0.00027463270386901377,2.206747061581878e-06,0.011560013790961837,-6.556516923539313e-05,1463.6448079678646,158.88183423258803,0.0034467857721259404,0.0033700594856808843,7.183094972034056,16.399360253933192,12.1535755325728,125.80924349721306,123.00716978658532,4.730917880138936e-05,1.6723447616739907e-05,3.478850792054017e-05
Nunavik Nickel,4.5633414994158406,1.4193967666316545,0.6347857740896269,0.1974458588119741,9.464215499827181e-20,0.01754545485945432,0.15288021320074116,0.024636171646594512,2.152887230511544e-08,8.593970464493635e-11,6.383720156633921e-07,2.9515831333284416e-07,0.14702120602636512,0.015959032617138408,4.888678425514625e-07,3.582212049892832e-07,0.005968482252101397,0.19263723950605785,0.14442968371145745,0.017843809346576957,0.013075074003291186,3.218076378576882e-09,2.0246798371097182e-10,1.9938422900409896e-09
Thompson,4.549597941182367,1.3968679512959625,0.6328739703769414,0.19431197706138761,4.793252629393217e-20,0.00642803799181739,0.0896486961075106,0.10704625851183557,1.2379290427652447e-08,3.575172230672407e-11,5.715775164464497e-07,4.932953339188706e-07,0.14568830080957587,0.015814495129949365,3.494589713822564e-07,2.832585685120497e-07,0.004035198844524227,0.06596081548875499,0.05489303614432571,0.012755379307886483,0.010338937629960014,2.828125608230938e-09,1.3596583806128425e-10,1.8396731799954898e-09
Voisey's Bay,13.933533066123411,4.377633447412168,1.938230697274442,0.6089527715608397,7.223565242827148e-20,0.16086620525867995,0.12357552617671602,0.06830819589448224,1.9651858131469132e-08,3.6026230101480914e-11,1.7692840618868425e-06,1.7921150649083926e-06,0.4419587515676583,0.047974762581359215,8.609515373274891e-07,7.556380430297765e-07,0.05330009024074046,1.6742776891338882,1.3634198031067906,0.03142492806260072,0.027580788497662847,8.593852032528523e-09,2.9646436508167616e-10,5.857147484962601e-09
Raglan,7.229331732164269,2.2356567740045405,1.0056396047607605,0.3109920932501504,1.0300690685817893e-19,0.06643265710969522,0.09829909841888657,0.03301299931482106,1.729411667130987e-08,1.783414430057993e-10,1.416473202437094e-06,4.6513606576667563e-07,0.2368363219939486,0.02570800053513421,4.512273158316432e-07,8.74532262629668e-07,0.022789056374005565,0.7296442119099356,0.5468572263973832,0.01646990935258926,0.031920427756987814,6.894362847829528e-09,2.4648772055666176e-10,4.687480767472362e-09
