Commodity,Climate change EQ marine LT (PDF.m2.yr),Climate change EQ marine ST (PDF.m2.yr),Climate change EQ terrestrial LT (PDF.m2.yr),Climate change EQ terrestrial ST (PDF.m2.yr),Fisheries impact (PDF.m2.yr),Freshwater acidification (PDF.m2.yr),Freshwater ecotoxicity LT (PDF.m2.yr),Freshwater ecotoxicity ST (PDF.m2.yr),Freshwater eutrophication (PDF.m2.yr),Ionizing radiations EQ (PDF.m2.yr),Land occupation biodiversity (PDF.m2.yr),Land transformation biodiversity (PDF.m2.yr),Marine acidification LT (PDF.m2.yr),Marine acidification ST (PDF.m2.yr),Marine ecotoxicity LT (PDF.m2.yr),Marine ecotoxicity ST (PDF.m2.yr),Marine eutrophication (PDF.m2.yr),Photochemical ozone EQ (PDF.m2.yr),Terrestrial acidification (PDF.m2.yr),Terrestrial ecotoxicity LT (PDF.m2.yr),Terrestrial ecotoxicity ST (PDF.m2.yr),Thermally polluted water (PDF.m2.yr),Water availability freshwater (PDF.m2.yr),Water availability terrestrial (PDF.m2.yr)
Cu concentrate from Au mine,4.668968183211442,1.472594751572701,0.6494790240361332,0.20484598961616052,7.50308290386899e-19,0.012990925730392136,0.15119469033404775,0.03505928086316866,0.00018578425222967414,2.1423499526553885e-10,0.2551173234782575,0.7331942654732795,0.14791023561133754,0.016055947434687984,4.6967254669481236e-07,7.391790940918695e-07,0.0066855049696655745,0.05308498911122599,0.0888724178527946,0.017143349332266432,0.02698003639357786,0.0012256961984501743,2.1093337073410656e-05,3.8015765302115457e-05
Cu concentrate from Cu mine,5.303085408348385,1.7189769097763934,0.7376881994953837,0.23911909661774466,7.15268272422116e-19,0.030413032816295427,8.215391739099854,0.04659974400701333,0.00012812751652039586,1.299240816242548e-09,1.235166368256122,1.782589452010134,0.1657061350445947,0.01798757429391302,1.7005598874611918e-06,7.440406480176374e-06,0.010825483054399294,0.1774380669244061,0.25649250383373423,0.062071938860287675,0.27157482765081914,0.0006733846996375914,3.819405164215677e-05,7.486520938339559e-05
Au-Ag ingot,12991.121491360402,4097.405806178651,1807.1360900857708,569.9715731902978,2.0876875332841714e-15,36.146464938216354,420.69007669874634,97.55032962976922,0.5169334529336459,5.960959409222435e-07,709.8485315628795,2040.0687707121515,411.5512817709288,44.67470232523535,0.0013068354663482247,0.002056721074614311,18.602013453395923,147.70577076021098,247.28212624785138,47.70033308751018,75.0703177187478,3.410425655098075,0.05869093778523293,0.10577656809835428
Pb concentrate,2.0894207646644625,0.659004288068499,0.29064986219325734,0.09167110327299052,3.3577220907793327e-19,0.0058135991949549385,0.06766148558711875,0.01568946015162583,8.314074181183102e-05,9.587279803636436e-11,0.11416814525108164,0.32811345738532566,0.06619165208979341,0.007185234221122521,2.101842504518377e-07,3.307917380750159e-07,0.0029918458472213793,0.023756185864989506,0.03977150104190222,0.007671860011817007,0.012073898197734445,0.000548514134949255,9.439528106985201e-06,1.70125232306603e-05
Zn concentrate,2.1116486689105254,0.6660149794424763,0.29374188531048706,0.0926463288133927,3.3934426189574917e-19,0.005875446116229288,0.06838129081760852,0.015856369622488823,8.402521683076701e-05,9.689272162343295e-11,0.11538270053492049,0.3316040449536005,0.06689581935216231,0.007261672964547375,2.1242025794594757e-07,3.3431081422635597e-07,0.0030236739161524904,0.024008911761177733,0.04019460294724986,0.007753475720145689,0.01220234447468386,0.0005543493957082258,9.539948645958043e-06,1.7193507740167777e-05
Ni concentrate,2.1903269699048757,0.7016470468115024,0.3046864672775036,0.0976029445430708,1.7669120398970586e-19,0.0040819839208174995,0.027153839490939212,0.010861976013574295,2.454534223472775e-05,1.2017777033781183e-11,0.060047738477129645,0.21143620308709157,0.06896175849641303,0.007485930472137421,1.579904082414964e-07,1.0992617676381526e-07,0.0017118294538397319,0.02871889227384243,0.030351399145392168,0.005766712207309941,0.004012305478453357,2.323227317577842e-05,1.383124251740363e-06,0.00030718601438047493
U yellowcake,468.9057688750942,148.4870469495721,65.22735841501577,20.655360931563944,4.77935020688017e-17,3.6078668473593503,1985.1146532557245,3.743157018622689,0.0058229629870470805,3.5146983274302258e-09,7.179216445130519,2.9811779632840274,14.992489256394464,1.6274524942834414,0.007404419272702894,8.384190278691647e-05,1.2101110250209177,9.060045592975484,23.557534204802593,270.2742571125893,3.0602294007207873,0.008011311656215,0.0004197398876793837,0.004266999678917832
