Commodity,Climate change HH LT (DALY),Climate change HH ST (DALY),Human toxicity cancer LT (DALY),Human toxicity cancer ST (DALY),Human toxicity non-cancer LT (DALY),Human toxicity non-cancer ST (DALY),Ionizing radiations HH (DALY),Ozone layer depletion (DALY),Particulate matter formation (DALY),Photochemical ozone HH (DALY),Water availability HH (DALY)
Cu concentrate from Au mine,7.8303050621568e-06,2.418502702464253e-06,9.226894049063066e-09,4.7113838936257605e-07,2.92493355364923e-07,2.6931807129446342e-06,2.4296377600963294e-08,2.8071498632028897e-11,9.273927966399227e-10,8.115416482144824e-12,4.3825680975068213e-10
Cu concentrate from Cu mine,6.412964830653717e-06,2.00689264186437e-06,1.657568295455526e-08,5.754974324842981e-07,5.186618867996159e-07,3.0732580229225766e-07,1.2777435746102763e-08,2.0730570646338634e-11,1.3828980845406145e-10,8.192715984737953e-12,1.3286495186065947e-10
Au-Ag ingot,0.02178735057165695,0.006729337596848121,2.5673274559503096e-05,0.001310914093026726,0.000813845066932223,0.007493612433085665,6.760320479906777e-05,7.810724872498718e-08,2.580414396718267e-06,2.2580655991618746e-08,1.2194230891961135e-06
Pb concentrate,3.5041579399329084e-06,1.0823097418936819e-06,4.129148696552431e-09,2.1084023370696705e-07,1.308943778904589e-07,1.2052315692016317e-06,1.0872928116344567e-08,1.2562341402497434e-11,4.150197015301088e-10,3.631748848268456e-12,1.961253218133541e-10
Zn concentrate,3.541436228350142e-06,1.0938236791122749e-06,4.173075863608698e-09,2.13083214950753e-07,1.322868737784982e-07,1.2180531149328166e-06,1.0988597509396634e-08,1.2695983346872264e-11,4.1943481460612706e-10,3.670384497029065e-12,1.9821176715267528e-10
Ni concentrate,2.3867962238600736e-06,7.538372184765185e-07,1.9821261907730237e-09,3.9016702459902914e-08,6.050055179917424e-08,2.9766578596979357e-08,2.572385591066758e-10,8.684617365323481e-12,6.365183813361174e-11,1.8703131630621534e-12,2.1105519021828363e-11
U yellowcake,0.0004287932337227578,0.00013430974292694844,5.166215187881384e-05,3.558679970834896e-05,0.0008821567216996395,3.430551643914778e-05,0.000862906644042898,1.7820129387481176e-09,4.3094638360587415e-09,8.503779639068212e-10,3.3593620647349828e-09
