mining_method,archetype,associated_material_category,min,max,mean,std
"Open-pit, concentrator",Free-milling,explosives,0.00264716345449599,0.00264716345449599,0.00264716345449599,
"Open-pit, underground",Free-milling,acid,3.16042597045688e-09,9.21830985915493e-07,3.3858925913202795e-07,5.069983452747884e-07
"Open-pit, underground",Free-milling,cement,0.00432085194091377,0.00432085194091377,0.00432085194091377,
"Open-pit, underground",Free-milling,consuming_equipment,0.000215384259635863,0.000215384259635863,0.000215384259635863,
"Open-pit, underground",Free-milling,cyanide,0.000252326004809343,0.000252326004809343,0.000252326004809343,
"Open-pit, underground",Free-milling,grinding_media,0.000663765716248711,0.000663765716248711,0.000663765716248711,
"Open-pit, underground",Free-milling,lubricant,0.000187235341806939,0.000187235341806939,0.000187235341806939,
"Open-pit, underground",Free-milling,ph_modifier,0.00149327413260048,0.00149327413260048,0.00149327413260048,
"Open-pit, underground, concentrator",Free-milling,anti_scalant,2.63851916932907e-05,2.63851916932907e-05,2.63851916932907e-05,
"Open-pit, underground, concentrator",Free-milling,cyanide,0.00025896508443633,0.00025896508443633,0.00025896508443633,
"Open-pit, underground, concentrator",Free-milling,explosives,0.00218011950788938,0.00218011950788938,0.00218011950788938,
"Open-pit, underground, concentrator",Free-milling,floculant,1.70127795527156e-05,1.70127795527156e-05,1.70127795527156e-05,
"Open-pit, underground, concentrator",Free-milling,grinding_media,0.000321701277955271,0.000681996805111821,0.000501849041533546,0.00025476741048357837
"Open-pit, underground, concentrator",Free-milling,ph_modifier,6.00422181652213e-05,0.000729164764947512,0.00039460349155636667,0.00047314109027457064
"Underground, concentrator","Cu-Au Porphyry sulfide, flotation-based",anti_scalant,1.23980424143556e-05,1.23980424143556e-05,1.23980424143556e-05,
"Underground, concentrator","Cu-Au Porphyry sulfide, flotation-based",floculant,6.26427406199021e-05,6.26427406199021e-05,6.26427406199021e-05,
"Underground, concentrator","Cu-Au Porphyry sulfide, flotation-based",frother,1.79445350734094e-05,1.79445350734094e-05,1.79445350734094e-05,
"Underground, concentrator","Cu-Au Porphyry sulfide, flotation-based",grinding_media,5.84013050570962e-05,0.00031973898858075,0.00018945078847199537,0.0001306705049794387
"Underground, concentrator","Cu-Au Porphyry sulfide, flotation-based",ph_modifier,0.000888743882544861,0.000888743882544861,0.000888743882544861,
"Underground, concentrator",Free-milling,acid,8.19304033714629e-08,6.62140077821011e-05,3.0151676364854484e-05,3.347082647530597e-05
"Underground, concentrator",Free-milling,activated_carbon,5.84139264990328e-05,5.84139264990328e-05,5.84139264990328e-05,
"Underground, concentrator",Free-milling,anti_scalant,3.42359767891682e-05,3.42359767891682e-05,3.42359767891682e-05,
"Underground, concentrator",Free-milling,cement,0.00916108949416342,0.0164804334738109,0.01282076148398716,0.005175557761845665
"Underground, concentrator",Free-milling,consuming_equipment,9.79623963035019e-05,0.000145244170379289,0.00012160328334139545,3.343326307551937e-05
"Underground, concentrator",Free-milling,cyanide,0.000379380350194552,0.000679523301738991,0.0005049039734361408,0.00011264206414247498
"Underground, concentrator",Free-milling,explosives,0.000903216660464544,0.00543959178356623,0.002141317155634615,0.0018762706714717207
"Underground, concentrator",Free-milling,floculant,4.46808510638297e-05,4.46808510638297e-05,4.46808510638297e-05,
"Underground, concentrator",Free-milling,grinding_media,0.000706294747081712,0.0018301625526791,0.001268228649880406,0.0007946945464951575
"Underground, concentrator",Free-milling,lubricant,1.45067698259187e-06,0.000288072451361867,0.00010218469186809647,0.00012143315481909965
"Underground, concentrator",Free-milling,ph_modifier,8.37524177949709e-05,0.00490261121856866,0.001806809447012838,0.0021286361344753676
