site_id,commodity,material_type,facility_name,unit,value,grade_percent,value_normalized,mining_processing_type,Main_product
QC-MAIN-e7e6a960,Gold,Head grade,Canadian Malartic,g/t,1.17,0.000117,445.2587678937939,"Open-pit, concentrator",Au (Ag)
QC-MAIN-e7e6a960,Gold,Head grade,Canadian Malartic,g/t,1.17,0.000117,372.2971974370138,"Open-pit, concentrator",Au (Ag)
ON-MAIN-cb85213a,Gold,Head grade,Eagle River,g/t,12.6,0.00126,10.57257289931036,"Underground, concentrator",Au
QC-MAIN-6dc537e6,Gold,Mill ore grade,Éléonore,g/t,4.785,0.00047850000000000003,130.05013765322943,"Underground, concentrator",Au (Ag)
BC-MAIN-4724f4ba,Gold,Ore grade,Elk,g/t,4.26,0.000426,166.84066972418515,Open-pit,Au
ON-MAIN-4e0734b5,Gold,Head grade,Fox Complex,g/t,3.31,0.000331,196.0961162537745,"Open-pit, underground, concentrator",Au
ON-MAIN-4e0734b5,Gold,Ore grade,Fox Complex,g/t,3.4,0.00034,196.0961162537745,"Open-pit, underground, concentrator",Au
QC-MAIN-c0660aec,Gold,Head grade,Goldex,g/t,1.74,0.000174,169.81932995985483,"Underground, concentrator",Au-Ag+Cu
QC-MAIN-c0660aec,Gold,Head grade,Goldex,g/t,1.74,0.000174,302.0400202076496,"Underground, concentrator",Au-Ag+Cu
QC-MAIN-9de9bb0d,Gold,Head grade,Kiena,g/t,5.9,0.00059,67.32134678377567,"Open-pit, concentrator",Au (Ag)
QC-MAIN-f9e41c2a,Gold,Head grade,Lamaque,g/t,6.76,0.0006760000000000001,137.1517191849627,"Underground, concentrator",Au (Ag)
QC-MAIN-f9e41c2a,Gold,Head grade,Lamaque,g/t,6.76,0.0006760000000000001,65.92269121050397,"Underground, concentrator",Au (Ag)
QC-MAIN-e51eda66,Gold,Head grade,LaRonde,g/t,5.23,0.000523,86.60245380183095,"Underground, concentrator",Au-Ag+Cu+Zn
QC-MAIN-e51eda66,Gold,Head grade,LaRonde,g/t,5.23,0.000523,60.23433911141454,"Underground, concentrator",Au-Ag+Cu+Zn
ON-MAIN-1f126a43,Gold,Head grade,Macassa,g/t,15.55,0.0015550000000000002,423.1565097249417,"Underground, concentrator",Au
ON-MAIN-1f126a43,Gold,Head grade,Macassa,g/t,15.55,0.0015550000000000002,37.97369098757765,"Underground, concentrator",Au
ON-MAIN-8825d90d,Gold,Ore grade,Magino,g/t,0.81,8.1e-05,694.1216840609511,"Open-pit, concentrator",Au
ON-MAIN-8825d90d,Gold,Head grade,Magino,g/t,0.91,9.1e-05,694.1216840609511,"Open-pit, concentrator",Au
GRP-0a2c0d69,Gold,Head grade,Meadowbank,g/t,3.86,0.000386,79.25575021139119,"Open-pit, underground",Au (Ag)
GRP-0a2c0d69,Gold,Head grade,Meadowbank,g/t,3.86,0.000386,135.66086506080097,"Open-pit, underground",Au (Ag)
NU-MAIN-8b0264c9,Gold,Head grade,Meliadine,g/t,6.11,0.0006110000000000001,36.65119905048314,"Open-pit, underground, concentrator",Au (Ag)
NU-MAIN-8b0264c9,Gold,Head grade,Meliadine,g/t,6.11,0.0006110000000000001,96.375337036015,"Open-pit, underground, concentrator",Au (Ag)
GRP-0d911886,Gold,Mill ore grade,Hoyle Pond,g/t,3.015,0.0003015,594.7466089693096,"Open-pit, underground",Au
ON-MAIN-0aadf28f,Gold,Ore grade,Rainy River,g/t,0.99,9.900000000000001e-05,786.8333176006569,"Open-pit, underground, concentrator",Au
GRP-14bfbb82,Gold,Mill feed grade,Seabee,g/t,10.14,0.0010140000000000001,120.01171158321162,"Underground, concentrator",Au
GRP-14bfbb82,Gold,Mill feed grade,Seabee,g/t,10.14,0.0010140000000000001,61.8625685507332,"Underground, concentrator",Au
GRP-a13779f8,Gold,Head grade,Stall Lake,g/t,7.475,0.0007475,23.86089981299352,"Underground, concentrator",Au-Ag+Cu+Zn
ON-MAIN-f4fc3276,Gold,Ore grade,Sugar Zone,g/t,5.1,0.00051,119.2963286601499,"Underground, concentrator",Au
GRP-147b3123,Gold,Ore grade,Timmins West,g/t,2.7,0.00027000000000000006,177.7038009820574,"Underground, concentrator",Au
GRP-147b3123,Gold,Ore grade,Timmins West,g/t,2.7,0.00027000000000000006,232.7544631185094,"Underground, concentrator",Au
ON-MAIN-7607a50e,Gold,Mill grade,Young-Davidson,g/t,2.2,0.00022000000000000003,304.8315440657227,"Underground, concentrator",Au
ON-MAIN-7607a50e,Gold,Ore grade,Young-Davidson,g/t,2.2,0.00022000000000000003,304.8315440657227,"Underground, concentrator",Au
