raw_material,activity_name,reference_product,location,exchange_type,input_name,input_database,input_code,amount,unit,comment
Ni concentrate from AU (Wei),[M+C] Nickel (Ni) ore mining and concentration (for Ni Class 1),Ni concentrate,AU,technosphere,"market for diesel, burned in building machine",ecoinvent-3.10-cutoff,7b503114dd17d341a5d418812fc977be,3.78,megajoule,
Ni concentrate from AU (Wei),[M+C] Nickel (Ni) ore mining and concentration (for Ni Class 1),Ni concentrate,AU,technosphere,"market for electricity, medium voltage",ecoinvent-3.10-cutoff,5c11846265475a1ef9369ce4cb55f9be,2.283,kilowatt hour,
Ni concentrate from AU (Wei),[M+C] Nickel (Ni) ore mining and concentration (for Ni Class 1),Ni concentrate,AU,technosphere,"market for electricity, medium voltage",ecoinvent-3.10-cutoff,5c11846265475a1ef9369ce4cb55f9be,3.064,kilowatt hour,
Ni concentrate from AU (Wei),[M+C] Nickel (Ni) ore mining and concentration (for Ni Class 1),Ni concentrate,AU,technosphere,"market for natural gas, high pressure",ecoinvent-3.10-cutoff,168124822c7af05dd85d4e82cedfb116,0.2231292517006803,cubic meter,
Ni concentrate from AU (Wei),[M+C] Nickel (Ni) ore mining and concentration (for Ni Class 1),Ni concentrate,AU,biosphere,Nickel,biosphere3,974213ef-1ba0-40e5-bc7b-52ef099e9e09,1.130575,kilogram,
Ni concentrate from AU (Wei),[M+C] Nickel (Ni) ore mining and concentration (for Ni Class 1),Ni concentrate,AU,biosphere,Cobalt,biosphere3,d0779a5e-6969-4144-954e-ceb81fb83f15,0.071695,kilogram,
